Accession,Release_Date,Species,Length,Geo_Location,U.S._State,Host,Isolation_Source,Collection_Date
MT757090,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29574,USA: FL,FL,Homo sapiens,,5/15/2020
MT757091,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29500,USA: FL,FL,Homo sapiens,,5/15/2020
MT757092,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29511,USA: FL,FL,Homo sapiens,,5/15/2020
MT757093,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29709,USA: FL,FL,Homo sapiens,,5/15/2020
MT757094,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,USA: FL,FL,Homo sapiens,,5/15/2020
MT757095,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29754,USA: FL,FL,Homo sapiens,,5/15/2020
MT757096,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,USA: FL,FL,Homo sapiens,,5/15/2020
MT757097,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29753,USA: FL,FL,Homo sapiens,,5/15/2020
MT757098,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29730,USA: FL,FL,Homo sapiens,,5/15/2020
MT757099,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29713,USA: FL,FL,Homo sapiens,,5/15/2020
MT757100,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,USA: FL,FL,Homo sapiens,,5/15/2020
MT757101,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29056,USA: FL,FL,Homo sapiens,,5/15/2020
MT757102,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29770,USA: FL,FL,Homo sapiens,,5/15/2020
MT757103,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29117,USA: FL,FL,Homo sapiens,,5/15/2020
MT757104,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29781,USA: FL,FL,Homo sapiens,,5/15/2020
MT757105,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29826,USA: FL,FL,Homo sapiens,,5/16/2020
MT757106,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29548,USA: FL,FL,Homo sapiens,,5/16/2020
MT757107,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29786,USA: FL,FL,Homo sapiens,,5/16/2020
MT757108,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29511,USA: FL,FL,Homo sapiens,,5/16/2020
MT757109,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29038,USA: FL,FL,Homo sapiens,,5/16/2020
MT757110,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,USA: FL,FL,Homo sapiens,,5/30/2020
MT757111,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,USA: FL,FL,Homo sapiens,,5/30/2020
MT757112,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA: FL,FL,Homo sapiens,,6/3/2020
MT757113,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: FL,FL,Homo sapiens,,6/2/2020
MT757114,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: FL,FL,Homo sapiens,,6/2/2020
MT757115,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,USA: FL,FL,Homo sapiens,,6/2/2020
MT757116,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,USA: FL,FL,Homo sapiens,,6/2/2020
MT757117,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,USA: FL,FL,Homo sapiens,,6/2/2020
MT757118,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: FL,FL,Homo sapiens,,6/3/2020
MT757119,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,USA: FL,FL,Homo sapiens,,6/3/2020
MT757120,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,USA: FL,FL,Homo sapiens,,6/3/2020
MT757121,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,USA: FL,FL,Homo sapiens,,6/3/2020
MT757122,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,USA: FL,FL,Homo sapiens,,6/3/2020
MT757123,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,USA: FL,FL,Homo sapiens,,6/3/2020
MT757124,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,USA: FL,FL,Homo sapiens,,6/4/2020
MT757125,2020-07-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: FL,FL,Homo sapiens,,6/4/2020
MT750020,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/17/2020
MT750021,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/18/2020
MT750022,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/15/2020
MT750023,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/15/2020
MT750024,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/17/2020
MT750025,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/14/2020
MT750026,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/15/2020
MT750027,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/18/2020
MT750028,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/17/2020
MT750029,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/14/2020
MT750030,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/19/2020
MT750031,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/18/2020
MT750032,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/16/2020
MT750033,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Rock county",WI,Homo sapiens,oronasopharynx,6/17/2020
MT750034,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/18/2020
MT750035,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/17/2020
MT750036,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: Wisconsin, Manitowoc county",WI,Homo sapiens,oronasopharynx,6/18/2020
MT750037,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/17/2020
MT750038,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/15/2020
MT750039,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/8/2020
MT750040,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/17/2020
MT750041,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/16/2020
MT750042,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/15/2020
MT750043,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: Wisconsin, Manitowoc county",WI,Homo sapiens,oronasopharynx,6/18/2020
MT750044,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/17/2020
MT750045,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Waukesha county",WI,Homo sapiens,oronasopharynx,6/17/2020
MT750046,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/10/2020
MT750047,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Jefferson county",WI,Homo sapiens,oronasopharynx,6/6/2020
MT750048,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Rock county",WI,Homo sapiens,oronasopharynx,6/8/2020
MT750049,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/7/2020
MT750050,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/16/2020
MT750051,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/11/2020
MT750052,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/6/2020
MT750053,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,6/18/2020
MT750054,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/8/2020
MT750055,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/18/2020
MT750056,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/17/2020
MT750057,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,6/17/2020
MT750058,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/9/2020
MT750059,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Rock county",WI,Homo sapiens,oronasopharynx,6/9/2020
MT750060,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/12/2020
MT750061,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/9/2020
MT750062,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,6/7/2020
MT750063,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/10/2020
MT750064,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/5/2020
MT750065,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/18/2020
MT750066,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/15/2020
MT750067,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/17/2020
MT750068,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dodge county",WI,Homo sapiens,oronasopharynx,6/2/2020
MT750069,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Jackson county",WI,Homo sapiens,oronasopharynx,6/1/2020
MT750070,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/11/2020
MT750071,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/4/2020
MT750072,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/5/2020
MT750073,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/4/2020
MT750074,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: Wisconsin, Jefferson county",WI,Homo sapiens,oronasopharynx,6/11/2020
MT750075,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/8/2020
MT750076,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/3/2020
MT750077,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/13/2020
MT750078,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/13/2020
MT750079,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/11/2020
MT750080,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/2/2020
MT750081,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/5/2020
MT750082,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/8/2020
MT750083,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Jefferson county",WI,Homo sapiens,oronasopharynx,6/3/2020
MT750084,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/3/2020
MT750085,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,5/31/2020
MT750086,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/10/2020
MT750087,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Trempealeau county",WI,Homo sapiens,oronasopharynx,6/1/2020
MT750088,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,6/1/2020
MT750089,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,5/30/2020
MT750090,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/5/2020
MT750091,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Jefferson county",WI,Homo sapiens,oronasopharynx,6/8/2020
MT750092,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Connecticut, Fairfield county",CT,Homo sapiens,oronasopharynx,6/8/2020
MT750093,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: Wisconsin, Vernon county",WI,Homo sapiens,oronasopharynx,6/5/2020
MT750094,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/7/2020
MT750095,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Rock county",WI,Homo sapiens,oronasopharynx,6/14/2020
MT750096,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Mchenry county",IL,Homo sapiens,oronasopharynx,6/2/2020
MT750097,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750098,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750099,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750100,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750101,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750102,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: Wisconsin, Brown county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750103,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750104,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750105,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,6/24/2020
MT750106,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750107,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750108,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/23/2020
MT750109,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/23/2020
MT750110,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/23/2020
MT750111,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Cook county",IL,Homo sapiens,oronasopharynx,6/24/2020
MT750112,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Lake county",IL,Homo sapiens,oronasopharynx,6/23/2020
MT750113,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750114,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750115,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/23/2020
MT750116,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750117,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29611,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750118,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750119,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29611,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/20/2020
MT750120,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/22/2020
MT750121,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750122,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,6/23/2020
MT750123,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/21/2020
MT750124,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/22/2020
MT750125,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/23/2020
MT750126,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/19/2020
MT750127,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Pennsylvania, Montgomery county",PA,Homo sapiens,oronasopharynx,6/22/2020
MT750128,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/22/2020
MT750129,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/24/2020
MT750130,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/22/2020
MT750131,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/23/2020
MT750132,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/23/2020
MT750133,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,6/21/2020
MT750134,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/25/2020
MT750135,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/25/2020
MT750136,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: New Jersey, Bergen county",NJ,Homo sapiens,oronasopharynx,6/25/2020
MT750137,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/25/2020
MT750138,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/25/2020
MT750139,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/25/2020
MT750140,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/27/2020
MT750141,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29611,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/25/2020
MT750142,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/25/2020
MT750143,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Sheboygan county",WI,Homo sapiens,oronasopharynx,6/28/2020
MT750144,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/25/2020
MT750145,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/28/2020
MT750146,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/25/2020
MT750147,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/28/2020
MT750148,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/25/2020
MT750149,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/25/2020
MT750150,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Cook county",IL,Homo sapiens,oronasopharynx,6/27/2020
MT750151,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/19/2020
MT750152,2020-07-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/19/2020
